21210
60950	61893	2	0	0
66345	66498	2	0	0
70927	70965	2	0	0
76219	76782	2	1	1
76219	76782	2	2	2
76885	77089	2	1	1
76885	77089	2	2	2
77329	77689	2	1	1
77329	77689	2	2	2
110678	111595	1	3	3
197015	201661	2	4	4
201755	201812	2	4	4
202040	202208	2	4	4
281043	281536	2	5	5
281043	281536	2	5	6
281043	281536	2	5	7
282133	282309	2	5	5
282133	282309	2	5	6
282133	282309	2	5	7
282751	282808	2	5	5
282751	282808	2	5	6
282751	282808	2	5	7
287473	287750	2	5	5
287473	287750	2	5	6
287473	287750	2	5	7
288019	288170	2	5	5
288019	288170	2	5	6
288019	288170	2	5	7
290951	291168	2	5	6
291284	291434	2	5	5
291325	291434	2	5	7
305574	306710	2	6	8
307118	307535	2	6	8
308576	308664	2	6	8
308800	308924	2	6	8
311844	311938	2	6	8
312190	312271	2	6	8
313491	313642	2	6	8
325634	325703	2	6	8
326506	326597	2	6	8
327132	327255	2	6	8
327863	327988	2	6	8
334399	334541	2	6	8
336082	336172	2	6	8
344773	344790	2	6	8
362056	362425	2	7	9
362056	362425	2	7	10
367064	367223	2	7	9
367064	367223	2	7	10
371204	371321	2	7	9
371204	371321	2	7	10
372630	372699	2	7	9
372630	372699	2	7	10
373469	373530	2	7	9
373469	373530	2	7	10
373939	374010	2	7	10
374298	374420	2	7	9
374298	374420	2	7	10
375662	376012	2	7	9
375662	376012	2	7	10
405442	408400	2	8	11
409005	409169	2	8	11
416582	417321	2	9	12
418922	419055	2	9	12
422145	422455	2	9	12
425096	425230	2	9	12
430683	430746	2	9	12
434708	434864	2	9	12
436164	436290	2	9	12
436379	436430	2	9	12
436629	436682	2	9	12
438717	438836	2	9	12
438969	439029	2	9	12
440861	440931	2	9	12
460528	460995	2	9	12
463345	464363	2	10	13
467648	467761	2	10	13
472393	472500	2	10	13
474620	474982	2	10	13
496489	496550	1	11	14
496489	496550	1	11	15
497832	498116	1	11	14
497832	498116	1	11	15
498495	498824	1	11	14
498495	498824	1	11	15
501668	501928	1	11	15
504744	505342	1	11	14
504744	505342	1	11	15
507496	507843	1	12	16
518888	519653	1	12	16
531732	532107	1	13	17
535836	535922	1	13	17
536242	536339	1	13	17
537012	537146	1	13	17
541338	542086	1	13	17
544026	544125	1	14	18
547279	547435	1	14	18
548541	548676	1	14	18
548921	549184	1	14	18
549629	549918	1	14	18
571324	571578	1	15	19
572536	572700	1	15	20
572536	572700	1	15	21
577773	578120	1	15	21
579499	579655	1	15	20
579499	579655	1	15	21
580378	580460	1	15	19
580378	580460	1	15	20
580378	580460	1	15	21
580645	580781	1	15	19
580645	580781	1	15	20
580645	580781	1	15	21
581314	581590	1	15	19
581314	581590	1	15	20
581314	581590	1	15	21
582305	582329	1	15	19
582305	582329	1	15	20
582305	582329	1	15	21
582513	582581	1	15	19
582513	582581	1	15	20
582513	582581	1	15	21
582749	583492	1	15	19
582749	583492	1	15	20
582749	583492	1	15	21
589892	590576	1	16	22
603543	603966	1	16	22
605060	605221	1	16	22
607963	608181	1	16	22
610258	610404	1	16	22
613247	613487	1	16	22
613851	614015	1	16	22
615794	617158	1	16	22
617222	617322	2	17	23
617418	617479	2	17	23
617569	617654	2	17	23
617776	617848	2	17	23
618487	618585	2	17	23
618704	618759	2	17	23
618996	619109	2	17	23
619209	619295	2	17	23
619585	619764	2	17	23
619957	620079	2	17	23
620364	620486	2	17	23
621057	621845	2	17	23
622148	622372	2	17	23
622581	622751	2	17	23
622820	622984	2	17	23
623453	623602	2	17	23
624718	624904	2	17	23
625123	625253	2	17	23
629539	630167	2	17	23
632833	632937	2	17	23
633424	633567	2	17	23
639925	640138	1	18	24
643234	643337	1	18	24
643409	643603	1	18	24
647525	648276	2	19	25
648371	648486	2	19	25
648881	648974	2	19	25
