2633
NR_033266	60950	70965	70965	2	3	0	0
NR_026818_1	76219	77689	70965	2	3	3	1
NR_026820_1	76219	77689	77689	2	3	6	2
NM_001005240	110678	111595	77689	1	1	9	3
NR_028324	197015	202208	111595	2	3	10	4
NM_177543	281043	291168	202208	2	6	13	5
NM_003712	281043	291434	291168	2	6	19	5
NM_177526	281043	291434	291434	2	6	25	5
NM_017550	305574	344790	291434	2	14	31	6
NM_199202	362056	376012	344790	2	7	45	7
NM_016585	362056	376012	376012	2	8	52	7
NM_001136263	405442	409169	376012	2	2	60	8
NM_012435	416582	460995	409169	2	13	62	9
NM_182577	463345	474982	460995	2	4	75	10
NM_130762	496489	505342	474982	1	4	79	11
NM_130760	496489	505342	505342	1	5	83	11
NM_033513	507496	519653	505342	1	2	88	12
NM_004359	531732	542086	519653	1	5	90	13
NM_005317	544026	549918	542086	1	5	95	14
NM_198591	571324	583492	549918	1	7	100	15
NM_198589	572536	583492	583492	1	8	107	15
NM_001728	572536	583492	583492	1	9	115	15
NM_001194	589892	617158	583492	1	8	124	16
NM_005035	617222	633567	617158	2	21	132	17
NM_020637	639925	643603	633567	1	3	153	18
NM_194460	647525	663232	643603	2	9	156	19
NM_005860	676388	683391	663232	1	5	165	20
NM_214710	685545	695460	683391	2	5	170	21
NM_001040134	708952	748329	695460	1	8	175	22
NM_002579	708952	748329	748329	1	9	183	22
NM_173481	751145	764317	748329	1	5	192	23
NM_031990	797391	812326	764317	1	15	197	24
NM_002819	797391	812326	812326	1	15	212	24
NM_175847	797391	812326	812326	1	7	227	24
NM_031991	797391	812326	812326	1	14	234	24
NR_039900	804931	805022	812326	1	1	248	25
NM_024888	812517	821951	812326	2	7	249	26
NR_036154	813583	813652	821951	1	1	256	27
NM_001700	827830	832016	821951	1	5	257	28
NM_002777	840984	848174	832016	1	5	262	29
NM_001972	852290	856245	848174	1	5	267	30
NM_001928	859664	863609	856245	1	5	272	31
NM_005481	867961	893217	863609	2	16	277	32
NM_138774	896502	913224	893217	2	8	293	33
NM_032551	917341	921014	913224	1	5	301	34
NM_005224	926036	972802	921014	1	9	306	35
NM_024100	984327	994568	972802	1	10	315	36
NM_138690	1000436	1009722	994568	1	9	325	37
NM_033420	1009649	1021140	1009722	2	10	334	38
NM_001033026	1009649	1021140	1021140	2	11	344	38
NM_201277	1026297	1039063	1021140	1	6	355	39
NM_004368	1026297	1039063	1039063	1	7	361	39
NM_019112	1040101	1065569	1039063	1	47	368	40
NM_012292	1067173	1086626	1065569	1	23	415	41
NM_002695	1086577	1095390	1086626	2	8	438	42
NM_002085	1103935	1106786	1095390	1	7	446	43
NM_001039847	1103935	1106786	1106786	1	7	453	43
NM_001039848	1104648	1106786	1106786	1	7	460	43
NM_001100122	1107632	1132272	1106786	2	29	467	44
NM_014963	1107632	1174281	1132272	2	32	496	44
NM_000455	1205797	1228433	1174281	1	10	528	45
NM_152769	1229946	1237989	1228433	2	9	538	46
NM_001687	1241748	1244823	1237989	1	4	547	47
NM_001001975	1241748	1244823	1244823	1	5	551	47
NM_177401	1248551	1259141	1244823	1	8	556	48
NR_027271	1267469	1270258	1259141	2	2	564	49
NM_001280	1269266	1273170	1270258	1	7	566	50
NR_023313	1269266	1274808	1273170	1	6	573	50
NR_023312	1269266	1274808	1274808	1	7	579	50
NM_017914	1275519	1279242	1274808	1	3	586	51
NM_001405	1286152	1301428	1279242	1	4	589	52
NM_032853	1354975	1378429	1301428	1	14	593	53
NR_024247	1356322	1378429	1378429	1	14	607	53
NM_024407	1383882	1395587	1378429	1	8	621	54
NM_000156	1397024	1401568	1395587	2	6	629	55
NM_138924	1397809	1401568	1401568	2	5	635	55
NM_170711	1407583	1435681	1401568	1	13	640	56
NM_018959	1407583	1435681	1435681	1	12	653	56
NM_001018	1438362	1440491	1435681	1	4	665	57
NM_005883	1450147	1473242	1440491	1	15	669	58
NM_152482	1473199	1479227	1473242	2	3	684	59
NM_017573	1481426	1490406	1479227	2	15	687	60
NM_138393	1491164	1497923	1490406	1	5	702	61
NM_213604	1505016	1513187	1497923	2	12	707	62
NM_001243079	1524072	1535454	1513187	1	14	719	63
NM_001174118	1554667	1568056	1535454	2	3	733	64
NM_203304	1554667	1568056	1568056	2	2	736	64
NM_003926	1576677	1592651	1568056	2	6	738	65
NM_006830	1597153	1605482	1592651	2	3	744	66
NM_001136139	1609288	1650285	1605482	2	19	747	67
NM_003200	1609288	1652327	1650285	2	19	766	67
NM_001080488	1753661	1775443	1652327	1	2	785	68
NM_001178002	1782073	1812198	1775443	2	29	787	69
NM_138813	1782073	1812269	1812198	2	29	816	69
NM_020695	1815244	1848451	1812269	2	16	845	70
NR_031730	1816157	1816236	1848451	2	1	861	71
NR_034114	1822087	1824541	1848451	1	3	862	72
NM_031918	1852397	1863563	1848451	2	2	865	73
NM_001130111	1876974	1885517	1863563	2	5	867	74
