11745	100
61894	66344	2	0	2	2
66499	70926	2	1	3	2
76783	76884	2	2	0	2
77090	77328	2	0	5	2
201662	201754	2	0	1	2
201813	202039	2	3	2	2
281537	282132	2	2	0	2
282310	282750	2	0	1	2
282809	287472	2	2	3	2
287751	288018	2	2	0	2
288171	290950	2	0	2	2
288171	291283	2	0	1	2
288171	291324	2	0	2	2
306711	307117	2	0	0	2
307536	308575	2	0	5	2
308665	308799	2	1	0	2
308925	311843	2	5	2	2
311939	312189	2	0	2	2
312272	313490	2	1	3	2
313643	325633	2	0	0	2
325704	326505	2	1	2	2
326598	327131	2	0	0	2
327256	327862	2	1	0	2
327989	334398	2	0	3	2
334542	336081	2	0	3	2
336173	344772	2	1	2	2
362426	367063	2	1	0	2
367224	371203	2	3	2	2
371322	372629	2	1	3	2
372700	373468	2	0	1	2
373531	373938	2	1	1	2
373531	374297	2	1	3	2
374011	374297	2	1	3	2
374421	375661	2	0	2	2
408401	409004	2	0	3	2
417322	418921	2	3	3	2
419056	422144	2	3	1	2
422456	425095	2	1	0	2
425231	430682	2	0	3	2
430747	434707	2	1	4	2
434865	436163	2	1	2	2
436291	436378	2	0	2	2
436431	436628	2	1	1	2
436683	438716	2	2	3	2
438837	438968	2	1	2	2
439030	440860	2	1	4	2
440932	460527	2	0	1	2
464364	467647	2	2	1	2
467762	472392	2	0	1	2
472501	474619	2	1	1	2
496551	497831	1	1	1	1
498117	498494	1	1	0	1
498825	501667	1	1	0	1
498825	504743	1	1	0	1
501929	504743	1	0	0	1
507844	518887	1	2	1	1
532108	535835	1	2	1	1
535923	536241	1	2	0	1
536340	537011	1	3	1	1
537147	541337	1	1	1	1
544126	547278	1	2	1	1
547436	548540	1	1	1	1
548677	548920	1	2	0	1
549185	549628	1	2	1	1
571579	580377	1	2	1	1
572701	577772	1	1	0	1
572701	579498	1	1	0	1
578121	579498	1	0	0	1
579656	580377	1	0	1	1
580461	580644	1	1	1	1
580782	581313	1	2	1	1
581591	582304	1	1	0	1
582330	582512	1	0	1	1
582582	582748	1	3	3	1
590577	603542	1	3	2	1
603967	605059	1	2	0	1
605222	607962	1	1	0	1
608182	610257	1	2	0	1
610405	613246	1	2	1	1
613488	613850	1	1	0	1
614016	615793	1	1	1	1
617323	617417	2	1	3	2
617480	617568	2	1	0	2
617655	617775	2	3	4	2
617849	618486	2	1	4	2
618586	618703	2	0	1	2
